,index,x,y
151,osiris,0.035148084868073456,-0.016411359188303578
152,overall,0.09336048431569793,-0.09114198117965255
153,overseen,0.07837307888130841,-0.03798885688777045
154,oxford,0.23519364823426725,-0.14942089886183868
155,packer,0.03901017249123198,-0.021702375995386547
156,pain,0.035148084868073456,-0.016411359188303578
157,period,0.053329528990009686,0.01682258096760643
158,place,0.09462574048793082,0.04806142743586536
159,pm,0.035148084868073456,-0.016411359188303578
160,point,0.05263167870428424,0.0706357726554121
161,poor,0.03901017249123198,-0.021702375995386547
162,prior,0.053329528990009686,0.01682258096760643
163,prize,0.035148084868073456,-0.016411359188303578
164,putney,0.055644668580434015,0.038526581553151376
165,race,0.4782631199199767,-0.2374032958415267
166,races,0.14675887760558148,-0.0014048213325183814
167,recently,0.05219758999458935,-0.028248460216802135
168,reduced,0.03901017249123198,-0.021702375995386547
169,referred,0.08274735924744314,-0.043350646563629185
170,reigning,0.06039069064858378,-0.08266998629079317
171,research,0.07328697691724789,0.050306412653227994
172,reserve,0.035148084868073456,-0.016411359188303578
173,reserves,0.1305036410521155,-0.06408372232355386
174,respectively,0.03901017249123198,-0.021702375995386547
175,retitled,0.036643488458623946,0.025153206326613997
176,rivalry,0.05263167870428424,0.0706357726554121
177,river,0.08219179059688794,0.014608989508691238
178,rob,0.05219758999458935,-0.028248460216802135
179,roger,0.035148084868073456,-0.016411359188303578
180,rowed,0.05219758999458935,-0.028248460216802135
181,rowing,0.04137367962372157,-0.021675323281814592
182,running,0.07837307888130841,-0.03798885688777045
183,same,0.09425279039079547,-0.04458439287793524
184,sarah,0.03901017249123198,-0.021702375995386547
185,senior,0.047126395195397734,-0.02229219643896762
186,seven,0.035148084868073456,-0.016411359188303578
187,showed,0.01910109414275966,0.02789897694151703
188,side,0.08274735924744314,-0.043350646563629185
189,simon,0.07837307888130841,-0.03798885688777045
190,six,0.09336048431569793,-0.09114198117965255
191,sky,0.01910109414275966,0.02789897694151703
192,sometimes,0.08274735924744314,-0.043350646563629185
193,south,0.055644668580434015,0.038526581553151376
194,spectators,0.03901017249123198,-0.021702375995386547
195,sponsored,0.08362963142231322,-0.04648833935812517
196,sponsors,0.036643488458623946,0.025153206326613997
197,sponsorship,0.036643488458623946,0.025153206326613997
198,sports,0.01910109414275966,0.02789897694151703
199,started,0.035148084868073456,-0.016411359188303578
200,streamed,0.04518917394992023,0.23944186234133724
201,subsidiary,0.04181481571115661,-0.023244169679062586
202,summer,0.035148084868073456,-0.016411359188303578
203,sunday,0.035148084868073456,-0.016411359188303578
204,supersport,0.01910109414275966,0.02789897694151703
205,takes,0.055644668580434015,0.038526581553151376
206,thames,0.09462574048793082,0.04806142743586536
207,that,0.12054634665939667,0.00899118620021516
208,the,1.0713027375701338,0.04880581760584289
209,there,0.035148084868073456,-0.016411359188303578
210,though,0.047126395195397734,-0.02229219643896762
211,three,0.05219758999458935,-0.028248460216802135
212,throughout,0.05263167870428424,0.0706357726554121
213,tideway,0.10897516045188206,-0.05234394412262347
214,time,0.14951287435066868,-0.07371561718550197
215,title,0.036643488458623946,0.025153206326613997
216,to,0.190078588512654,-0.01300394570591202
217,took,0.09163253318769089,-0.009921452130738775
218,tsn,0.01910109414275966,0.02789897694151703
219,two,0.09200946613611455,0.07594285306009012
